naziv,br_zvjezdica,adresa,godina_osnutka,tel,email,url,br_soba,besplatan_wifi,unutarnji_bazen,pet_friendly,sirina,duzina
DoubleTree by Hilton Zagreb,5,Ulica grada vukovara 269A,2012,+385 1 60 01 900,zagreb.reservations@hilton.com,http://www.zagreb.doubletree.com/,152,da,da,da,45.801786288698416,16.001706763380476
Esplanade Zagreb,5,Mihanovićeva 1,1925,+385 1 45 66 666,info@esplanade.hr,http://www.esplanade.hr/,208,da,ne,da,45.805505147803274,15.97599100971124
La Premier Hotel,5, Ulica kralja Držislava 5,2016,+385 1 60 01 900,zagreb.reservations@hilton.com,http://www.lepremier.hr/,62,da,ne,ne,45.810320895990884,15.985996551779204
Sheraton Zagreb,5,Kneza Borne 2,1995,+385 1 45 53 535,sales@hup-zagreb.hr,http://www.marriott.com/ZAGSI,306,da,da,da,45.801786288698416,16.001706763380476
The Westin Zagreb,5,Kršnjavoga 1,1975,+385 1 48 92 000,sales@hup-zagreb.hr,http://www.marriott.com/ZAGWI,349,da,ne,da,45.80711150136659,15.966327582203974
Royal Ariston Hotel,5,Kardinala Stepinca 31,2017,+385 20 440 100,reservations@royaldubrovnik.com,https://www.hotelaristondubrovnik.com/,115,ne,da,da,42.659635881753964,18.05887435737669
Hotel Dubrovnik Palace,5,Masarykov Put 20,2003,+385 20 430 000,reservations@alh.hr,https://www.adriaticluxuryhotels.com/hr/hotel-dubrovnik-palace/,320,da,ne,da,42.65141687853165,18.060979989677627
Hotel Monte Mulini,5,A. Smareglia 3,2009,+385 52 800 250,hello@maistra.hr,https://www.maistra.com/hr/smjestaj/hotel-monte-mulini/#/,400,ne,ne,da,45.072954962995546,13.636956391238071
Meridien Lav,5,Grljevacka 2a,1971,+38521500500,info@lemeridiensplit.com,https://www.lemeridiensplit.com/,378,ne,ne,ne,43.492809008732216,16.53832906336709
Amadaria Park,5,Maršala Tita 109,1967,+385 51 278 007,info@amadriapark.com,https://www.amadriapark.com/hr/hotel/amadria-park-hotel-milenij-opatija-business-leisure-hotel,100,ne,da,da,45.33400567934142,14.305636473694104
